95	Weightlifting Fairy Kim Bok Joo	South Korea	2016	Drama	 8.5	- / +16/16
96	Why I Dress Up for Love	Japan	2021	Drama	 8.5	- / +10/10
97	Will Love in Spring	China	2024	Drama	 8.5	- / +21/21
98	You Are My Glory	China	2021	Drama	 8.5	- / +32/32
99	You Are My Secret	China	2024	Drama	 8.5	- / +32/32
100	Your Eyes Tell	Japan	2020	Movie	 8.5	- / +1/1
101	Youth of May	South Korea	2021	Drama	 8.5	- / +12/12
102	Are You the One	China	2024	Drama	 8.0	- / +40/40
103	Be Passionately in Love	China	2025	Drama	 8.0	- / +24/24
104	Jitenshaya-san no Takahashi-kun	Japan	2022	Drama	 8.0	- / +8/8
105	Kill Me Love Me	China	2024	Drama	 8.0	- / +32/32
106	King the Land	South Korea	2023	Drama	 8.0	- / +16/16
107	Love in the Clouds	China	2025	Drama	 8.0	- / +36/36
108	Love Next Door	South Korea	2024	Drama	 8.0	- / +16/16
109	Love Your Enemy	South Korea	2024	Drama	 8.0	- / +12/12
110	My Dearest Part 2	South Korea	2023	Drama	 8.0	- / +11/11
111	My ID Is Gangnam Beauty	South Korea	2018	Drama	 8.0	- / +16/16
112	My Journey to You	China	2023	Drama	 8.0	- / +24/24
113	My Youth	South Korea	2025	Drama	 8.0	- / +12/12
114	Onzoshi ni Koi wa Muzu Sugiru	Japan	2025	Drama	 8.0	- / +12/12
115	Pursuit of Jade	China	2026	Drama	 8.0	- / +40/40
116	Shine on Me	China	2025	Drama	 8.0	- / +36/36
117	Sunshine of My Life	China	2021	Drama	 8.0	- / +45/45
118	The Killer Is Also Romantic	China	2022	Drama	 8.0	- / +18/18
119	The Practical Guide to Love	South Korea	2026	Drama	 8.0	- / +12/12
120	The Smile Has Left Your Eyes	South Korea	2018	Drama	 8.0	- / +16/16
121	True Beauty	South Korea	2020	Drama	 8.0	- / +16/16
122	What's Wrong with Secretary Kim	South Korea	2018	Drama	 8.0	- / +16/16
123	Wonderland of Love	China	2023	Drama	 8.0	- / +40/40
124	A Girl & Three Sweethearts	Japan	2016	Drama	 7.5	- / +10/10
125	Bloody Romance	China	2018	Drama	 7.5	- / +36/36
126	Cursed in Love	Japan	2020	Drama	 7.5	- / +8/8
127	General's Lady	China	2020	Drama	 7.5	- / +30/30
128	Guardians of the Dafeng	China	2024	Drama	 7.5	- / +40/40
129	Hidden Love	China	2023	Drama	 7.5	- / +25/25
130	How Dare You!?	China	2026	Drama	 7.5	- / +32/32
131	Intense Love	China	2020	Drama	 7.5	- / +24/24
132	King Is Not Easy	China	2017	Drama	 7.5	- / +20/20
133	Love Designer	China	2020	Drama	 7.5	- / +45/45
134	Love Like White Jade	China	2021	Drama	 7.5	- / +32/32
135	Love to Hate You	South Korea	2023	Drama	 7.5	- / +10/10
136	Moon Lovers: Scarlet Heart Ryeo	South Korea	2016	Drama	 7.5	- / +20/20
137	Welcome to Wedding Hell	South Korea	2022	Drama	 7.5	- / +12/12
138	Moon in the Day	South Korea	2023	Drama	 7.0	- / +14/14
139	My Sassy Girl	South Korea	2017	Drama	 7.0	- / +32/32
140	Only for Love	China	2023	Drama	 7.0	- / +36/36
141	Positively Yours	South Korea	2026	Drama	 7.0	- / +12/12
142	Veil of Shadows	China	2026	Drama	 7.0	- / +29/29
143	Back to Seventeen	China	2023	Drama	 6.5	- / +25/25
144	Cute Programmer	China	2021	Drama	 6.5	- / +30/30
145	Double Life	China	2024	Drama	 6.5	- / +27/27
146	Love O2O	China	2016	Drama	 6.5	- / +30/30
147	Sassy Beauty	China	2022	Drama	 6.5	- / +24/24
148	The Blooms at Ruyi Pavilion	China	2020	Drama	 6.5	- / +40/40
149	The Deliberations of Love	China	2023	Drama	 6.5	- / +24/24
150	The Wolf Princess	China	2021	Drama	 6.5	- / +24/24
151	Love under the Full Moon
152	My Queen
153	Rebirth for You
154	The Queen of Attack
155	My Handsome Roommate
156	Ashes of Love
157	A Girl Like Me
